1;62;10
2;25;11
3;27;5
4;75;3
5;2;12
6;38;13
7;30;13
8;27;13
9;8;9
10;29;6
11;38;13
12;1;4
13;23;6
14;54;6
15;82;14
16;79;11
17;37;13
18;83;12
19;14;14
20;81;6
21;63;6
22;61;8
23;55;14
24;15;8
25;98;6
26;28;4
27;42;8
28;58;7
29;75;2
30;68;5
31;86;5
32;10;9
33;97;8
34;64;12
35;30;7
36;81;2
37;2;11
38;85;1
39;24;6
40;55;6
41;68;2
42;32;5
43;70;9
44;91;9
45;66;14
46;53;11
47;26;8
48;31;2
49;34;6
50;8;14
51;81;7
52;49;11
53;47;8
54;29;5
55;43;7
56;42;10
57;55;7
58;64;1
59;12;9
60;62;14
61;38;6
62;74;12
63;50;10
64;87;10
65;93;8
66;46;2
67;33;11
68;28;4
69;54;6
70;71;1
71;15;7
72;63;9
73;75;12
74;85;1
75;76;9
76;47;14
77;86;1
78;45;14
79;18;7
80;91;1
81;38;7
82;96;7
83;60;6
84;47;9
85;7;13
86;39;1
87;30;11
88;8;6
89;69;13
90;83;13
91;23;14
92;56;10
93;62;13
94;39;8
95;73;8
96;24;2
97;37;6
98;30;10
99;31;8
100;24;8
